Subgroup;n;Modell;MAE;MedianAE
2–4 d;84;Oberarzt;1.496;1.03
2–4 d;84;Ridge;4.49;4.317
2–4 d;84;RandomForest;4.785;4.241
2–4 d;84;ExtraTrees;3.33;3.217
2–4 d;84;XGBoost;4.571;4.435
2–4 d;84;Tweedie;4.964;4.367
2–4 d;84;Null;4.883;4.97
4–7 d;46;Oberarzt;1.954;1.865
4–7 d;46;Ridge;2.299;2.18
4–7 d;46;RandomForest;2.888;1.735
4–7 d;46;ExtraTrees;1.496;1.4
4–7 d;46;XGBoost;2.729;1.756
4–7 d;46;Tweedie;3.46;1.931
4–7 d;46;Null;2.379;2.254
>7 d;70;Oberarzt;7.74;6.087
>7 d;70;Ridge;6.783;4.391
>7 d;70;RandomForest;7.326;5.635
>7 d;70;ExtraTrees;7.65;5.252
>7 d;70;XGBoost;7.183;5.433
>7 d;70;Tweedie;7.95;5.847
>7 d;70;Null;7.082;5.44
