tool;K;gate_AUROC;MAE;R2;slope;bias;MAE_gt7
ExtraTrees;—(single);;3.747;0.007;1.03;-1.36;9.583
ExtraTrees;5;0.688;3.887;0.075;0.966;-0.445;8.389
ExtraTrees;7;0.727;4.081;0.059;0.788;0.161;7.767
ExtraTrees;10;0.68;4.149;0.061;0.763;0.348;7.687
ExtraTrees;14;0.636;4.329;0.04;0.659;0.765;7.414
Tweedie;—(single);;3.756;0.062;0.972;-0.996;9.026
Tweedie;5;0.688;3.944;0.084;1.033;-0.345;8.351
Tweedie;7;0.727;4.16;0.063;0.823;0.362;7.604
Tweedie;10;0.68;4.152;0.073;0.828;0.373;7.639
Tweedie;14;0.636;4.458;0.037;0.679;1.027;7.264
