c;s;MAE;R2;slope;MAE_gt7;MAE_1-2;MAE_2-4;MAE_4-7;MAE_>7
6;0.5;3.146;0.314;0.737;6.686;1.46;1.63;3.69;6.69
6;1.0;3.05;0.371;0.834;6.225;1.71;1.81;2.99;6.22
6;2.0;3.477;0.368;1.021;5.987;2.81;2.74;2.25;5.99
6;3.0;3.997;0.308;1.209;5.926;3.8;3.55;2.25;5.93
7;0.5;3.097;0.298;0.776;7.32;1.34;1.35;3.15;7.32
7;1.0;2.977;0.351;0.854;6.926;1.46;1.39;2.71;6.93
7;2.0;3.162;0.382;1.015;6.48;2.26;2.01;1.92;6.48
7;3.0;3.595;0.346;1.188;6.251;3.19;2.83;1.71;6.25
8;0.5;3.194;0.242;0.78;8.127;1.26;1.19;2.97;8.13
8;1.0;3.053;0.301;0.86;7.701;1.31;1.2;2.62;7.7
8;2.0;3.035;0.36;1.013;7.076;1.87;1.5;1.86;7.08
8;3.0;3.335;0.353;1.177;6.696;2.7;2.21;1.46;6.7
9;0.5;3.309;0.196;0.78;8.698;1.19;1.13;3.05;8.7
9;1.0;3.189;0.243;0.859;8.439;1.22;1.1;2.69;8.44
9;2.0;3.037;0.316;1.012;7.707;1.61;1.21;1.94;7.71
9;3.0;3.186;0.336;1.175;7.201;2.31;1.72;1.4;7.2
10;0.5;3.374;0.156;0.813;9.262;1.13;1.02;2.9;9.26
10;1.0;3.296;0.185;0.856;8.998;1.17;1.01;2.77;9.0
10;2.0;3.088;0.263;1.012;8.248;1.43;1.03;2.1;8.25
10;3.0;3.122;0.303;1.18;7.716;2.0;1.36;1.45;7.72
12;0.5;3.495;0.042;0.728;9.91;1.12;0.88;2.95;9.91
12;1.0;3.418;0.075;0.82;9.671;1.13;0.87;2.84;9.67
12;2.0;3.254;0.15;1.025;9.169;1.24;0.85;2.42;9.17
12;3.0;3.165;0.213;1.207;8.626;1.59;0.95;1.83;8.63
