Feature;MAE_increase_days;sd
diag_main_z99_1;0.12148361206054688;0.012015121586455344
proc24_anzahl_gesamt;0.11627764701843261;0.01688733327088935
proc24_8_924;0.05059828758239746;0.015015337273381208
diag_main_g91_8;0.0484370231628418;0.013451748298523561
diag_main_g91_0;0.04042892456054688;0.011693384857099047
vital24_spo2_min;0.029784679412841797;0.010472015479190267
proc24_8_800_c0;0.027952909469604492;0.005825698179761975
alter;0.02741374969482422;0.013100749973112417
proc24_3_200;0.020405387878417967;0.003472269597825666
proc24_8_701;0.018671846389770506;0.006344693089508377
lab24_p_bilirubin_gesamt_min;0.0151885986328125;0.0095236637542481
lab24_chlorid_radiometer_poct_last;0.015062046051025391;0.004406722257312901
lab24_p_bilirubin_gesamt_first;0.014481258392333985;0.008253390133662778
stay_nr;0.013442754745483398;0.008038035357425909
lab24_p_bilirubin_gesamt_last;0.013033533096313476;0.009720081535054652
zugang24_zvk_3_lumen_v_jugularis_re;0.012840795516967773;0.0038204108094455503
lab24_glukose_radiometer_poct_max;0.010230350494384765;0.007145252710479347
zugang24_zvk_5_lumen_v_jugularis_re;0.009345436096191406;0.0021587642683819712
proc24_8_831_0;0.008377313613891602;0.0027674480519741503
zugang24_anzahl_gesamt;0.008147716522216797;0.005000670939757008
diag_main_i25_13;0.007886219024658202;0.00321003746277954
lab24_natrium_radiometer_poct_min;0.0068130970001220705;0.0042408787975243036
proc24_8_930;0.006293487548828125;0.0070024430480645486
diag_main_t81_0;0.005756235122680664;0.0024722709276854484
proc24_8_931_0;0.005681037902832031;0.010725321706996083
lab24_chlorid_radiometer_poct_max;0.005652236938476563;0.004058985825088869
diag_main_s06_21;0.005434370040893555;0.0017969543749964208
vital24_spo2_count;0.005354452133178711;0.003924423940767322
lab24_chlorid_radiometer_poct_mean;0.004112339019775391;0.0029243868693970723
vital24_spo2_max;0.0039198875427246095;0.004216088258275881
lab24_chlorid_radiometer_poct_first;0.003301668167114258;0.0028688764504419895
vital24_spo2_mean;0.003263378143310547;0.004991160373689879
lab24_kalium_radiometer_poct_mean;0.002573060989379883;0.006488226040346394
lab24_kalium_radiometer_poct_min;0.0025333404541015626;0.0037798726683186735
zugang24_harnblasenverweilkatheter_s_t_transurethral;0.0021903514862060547;0.0013547923025146885
diag_main_s06_5;0.002091503143310547;0.0020373867388724016
diag_main_k63_1;0.0018602848052978516;0.002966276107277707
lab24_natrium_radiometer_poct_mean;0.0017784595489501952;0.006252217743507725
oebenekurz;0.0017647743225097656;0.01139983074513953
lab24_glukose_radiometer_poct_count;0.0016506195068359375;0.0038300551562197144
lab24_kalium_radiometer_poct_first;0.0015959739685058594;0.003855836067839769
zugang24_harnblasenverweilkatheter_transurethral;0.0011597156524658203;0.0011604057229100445
lab24_glukose_radiometer_poct_last;0.0011483192443847655;0.005370453375909258
diag_main_t81_3;0.0008246898651123047;0.0007444016120572532
diag_main_j12_8;0.0007140159606933594;0.004650308429585799
diag_main_i34_0;0.0006801605224609375;0.0019203135713330227
lab24_natrium_radiometer_poct_max;0.00041637420654296877;0.0021830665492629823
diag_main_i71_4;0.00018477439880371094;0.0005084642869980518
proc24_8_706;0.0001705646514892578;0.0017808095755753248
diag_main_s06_6;-0.0002728939056396484;0.0015975702975453666
diag_main_i71_01;-0.0003407001495361328;0.0008757686648222561
diag_main_i21_4;-0.0004492282867431641;0.0016466473012168089
lab24_chlorid_radiometer_poct_count;-0.0004958152770996094;0.0021029531017683705
diag_main_i35_0;-0.0005075931549072266;0.0016374978371601191
diag_main_i25_12;-0.0007750511169433594;0.0010465504845696997
zugang24_art_katheter_a_radialis_re;-0.0009550571441650391;0.001615001860420727
diag_main_a41_9;-0.0010945796966552734;0.00096485694280859
lab24_natrium_radiometer_poct_count;-0.0012179851531982423;0.004300634669941483
zugang24_harnblasenverweilkatheter;-0.0016037940979003907;0.0006446569693908498
diag_main_k55_0;-0.0016873836517333984;0.0021421767400442277
vital24_spo2_last;-0.001953268051147461;0.0019641709740254184
lab24_kalium_radiometer_poct_max;-0.0024996280670166017;0.0031439847336725926
lab24_chlorid_radiometer_poct_min;-0.00251622200012207;0.0019206488427515093
vital24_spo2_first;-0.002556133270263672;0.005927088259499302
lab24_natrium_radiometer_poct_first;-0.003001546859741211;0.002604364630624457
lab24_glukose_radiometer_poct_min;-0.003112506866455078;0.004369326308605548
lab24_natrium_radiometer_poct_last;-0.003267383575439453;0.0056527634437750825
lab24_kalium_radiometer_poct_last;-0.0035341262817382814;0.008115069968361453
zugang24_art_katheter_a_radialis_li;-0.004121637344360352;0.002279939168087956
diag_main_i61_0;-0.004330921173095703;0.006115100138224564
diag_main_i20_8;-0.004600334167480469;0.0018291936446883
lab24_kalium_radiometer_poct_count;-0.0049251079559326175;0.0025984997052113006
lab24_lactat_radiometer_poct_first;-0.005306148529052734;0.005750648349864248
lab24_p_bilirubin_gesamt_max;-0.005651950836181641;0.0037688582044475873
diag_main_i33_0;-0.0065517425537109375;0.004543004073063684
lab24_glukose_radiometer_poct_first;-0.006985282897949219;0.004580958357331872
lab24_p_bilirubin_gesamt_mean;-0.0076385498046875;0.006981578786998754
proc24_3_990;-0.011329269409179688;0.004269580773921391
lab24_glukose_radiometer_poct_mean;-0.014499902725219727;0.004057333374570192
diag_main_t81_8;-0.014532804489135742;0.005526726274715166
diag_main_t81_4;-0.01503286361694336;0.003932962141248085
